"Tytuł produktu","Kod produktu","Kategoria","Zdjęcie","Dokumentacja produktowa","Opis"
"Mydło Perła do mycia rąk i całego ciała - FORLUX RC","RC","Ręce, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/p1080991.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/zgloszenie_mydla_perla_forlux_rc_05_do_krajowego_systemu_informowania_o_kosmetykach_wprowadzonych_do_obrotu_na_terenie_rp.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_rc_mydlo_perla.pdf","Zastosowanie:
Mydło Perła jest delikatnym płynem do mycia rąk i całego ciała. Dzięki zawartości substancji nawilżających chroni skórę przed nadmiernym wysuszaniem i lekko ją nawilża. Bardzo dobrze się pieni i ma przyjemny zapach. Jego pH jest przyjazne dla skóry
Sposób uzycia:
Mycie rąk: Niewielką ilość mydła nanieść na dłonie, dodać niewielką ilość wody i myć aż do wytworzenia piany, a następnie spłukać wodą.
Mycie ciała i włosów/kąpiel pod prysznicem: Mydło Perła nanieść na gąbkę, rękawicę do kąpieli lub bezpośrednio na wilgotną skórę lub włosy.
Jako płyn do kąpieli: Mydło Perła wlać przed napełnieniem wanny wodą
Skład:
Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycol Distearate, Cocamide MEA, Laureth-10, Cocamide DEA, Glycerin, PEG-200 Hydrogenated Glyceryl Palmate, PEG-7 Glyceryl Cocate, Sodium Chloride, Citric Acid, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum
pH 5,5

Dostępne opakowania:
0,5L - RC 005
5L - RC 505
"
"Mydło Piankowe - Forlux RP 505","RP 05","Ręce, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/p1150652.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/rp_forlux_mydlo_piankowe_-karta.pdf","NOWOŚĆ
 

Zastosowanie:
Delikatne mydło piankowe Forlux RP 05 przeznaczone jest do mycia rak i całego ciała.
Doskonale myje i pielęgnuje i odświeża skórę pozostawiając subtelny kwiatowy zapach.
Dozując mydło za pomocą DOZ MPP1, dozownika nalewowego z funkcją tworzenia piany,
czterokrotnie zwiększamy jego wydajność:
5 litrów płynnego mydła piankowego  = 20 litrów płynnego mydła standardowego  !
Dostępne opakowania:
5L - RP 505
250 ml - RP 005
 
"
"Mydło w płynie ","RAE 505","Ręce, Dezynfekcja, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/p1150641.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/rae_505_-_karta_charakterystyki_0.pdf","Mydło do mycia rąk 
Zastosowanie:
Mydło Forlux RAE 505 jest delikatnym płynem do mycia rąk.
Dzięki zawartości substancji nawilżających chroni skórę przed nadmiernym wysuszaniem i lekko ją nawilża.
Bardzo dobrze się pieni i ma przyjemny zapach. Jego pH jest przyjazne dla skóry
 
Sposób użycia:
Niewielką ilość mydła nanieść na dłonie, dodać niewielką ilość wody i myć aż do wytworzenia piany,
a następnie spłukać wodą.

Skład:
/inci/: aqua, sodium laureth sulfate, sodium chloride,cocamide dea, cocamidopropyl betaine, peg-75 lanolin,
gliceryn, glicol distearate, perfum, triclosan, methylchloroisothiazolinone, methylisothiazolinone.
 
pH 5
 
Dostępne opakowania:
5l - RAE 505
"
"NABŁYSZCZACZ DO KAROSERII SAMOCHODOWEJ","ANK 105","Samochody, Pielęgnacja","https://www.forlux.pl/sites/default/files/produkty/p1140502.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_ank_01-10-2015_r.pdf","ANK 105
Nabłyszczanie karoserii 
 
Zastosowanie
Preparat ANK 5 służy do nabłyszczania i pielęgnacji karoserii samochodowej.
Doskonale nabłyszcza karoserie samochodów pokrytych lakierami zwykłymi, perłowymi oraz metalizowanymi.
Dzięki unikalnej formule maskuje drobne rysy na lakierze, pogłębia kolor, usuwa zacieki i plamy po twardej wodzie, zabezpiecza lakier przed bieżącymi zanieczyszczeniami powstałymi wskutek zmiennych warunków atmosferycznych.
 
Sposób użycia
Produkt gotowy do użycia. Nie stosować na nasłonecznionych i nagrzanych powierzchniach.
Nanosić preparat za pomocą spryskiwacza.
Na czystą i suchą karoserię nanieść niewielką ilość płynu ANK 105, ściereczką rozetrzeć i wypolerować.
 
Pojemność

1 L -  ANK 105

 
 
 
 
"
"NAKŁADKA BAWEŁNIANA 40 CM","ECN","Sprzęt sprzątający, Akcesoria do zestawów","https://www.forlux.pl/sites/default/files/produkty/p1090068.jpg","","NAKŁADKA BAWEŁNIANA 40 CM
Nakładka bawełniana 40 cm do Mopa ECN
Dostępne kolory lamówek

		ECNZ  - MOP Z LAMÓWKĄ ZIELONĄ - Obszar zastosowania - Uniwersalna

		ECNŻ  - MOP Z LAMÓWKĄ ŻÓŁTĄ - Obszar zastosowania - Kuchnia- Dezynfekcja

		ECNC  - MOP Z LAMÓWKĄ CZERWONĄ - Obszar zastosowania - Sanitariaty
"
"NAKŁADKA Z MIKROFAZY 40 CM","ECNM","Sprzęt sprzątający, Akcesoria do zestawów","https://www.forlux.pl/sites/default/files/produkty/p1090069.jpg","","NAKŁADKA Z MIKROFAZY 40 CM
Nakładka z mikrofazy 40 cm do Mopa ECNM
Dostępne kolory lamówek 

		ECNMZ  - MOP Z LAMÓWKĄ ZIELONĄ - Obszar zastosowania - Uniwersalna

		ECNMŻ  - MOP Z LAMÓWKĄ ŻÓŁTĄ - Obszar zastosowania - Kuchnia- Dezynfekcja

		ECNMC  - MOP Z LAMÓWKĄ CZERWONĄ - Obszar zastosowania - Sanitariaty
"
"NAKŁADKA Z MIKROFAZY WZMOCNIONEJ 40 CM","ECNMG ","Sprzęt sprzątający, Akcesoria do zestawów","https://www.forlux.pl/sites/default/files/produkty/p1090072.jpg","","NAKŁADKA Z MIKROFAZY WZMOCNIONA 40 CM
Nakładka z mikrofazy do mycia gruntownego 40 cm do Mopa ECNM
Dostępne kolory lamówek

		ECNMGZ  - MOP Z LAMÓWKĄ ZIELONĄ - Obszar zastosowania - Uniwersalna

		ECNMGŻ  - MOP Z LAMÓWKĄ ŻÓŁTĄ - Obszar zastosowania - Kuchnia- Dezynfekcja

		ECNMGC  - MOP Z LAMÓWKĄ CZERWONĄ - Obszar zastosowania - Sanitariaty
"
"Nisko pieniący preparat do maszynowego mycia podłóg błyszczących - Forlux ZCN 507 ","ZCN 07","Podłogi, Mycie maszynowe","https://www.forlux.pl/sites/default/files/produkty/p1080996.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/zcn_forlux.pdf","Zastosowanie:
Preparat Forlux ZCN 507 przeznaczony jest do codziennego maszynowego mycia podłóg błyszczących. Czyści dokładnie nadając mytym powierzchniom idealny połysk i przyjemny zapach. Szybko odparowuje z powierzchni, dzięki zawartości alkoholu w swoim składzie.
Sposób użycia:
W zależności od stopnia zabrudzenia stosować rozcieńczenie od 50 ml do 200 ml preparatu na 10 litrów wody. Umyć powierzchnię i pozostawić do wyschnięcia.
Skład:
"
"ODKAMIENIACZ DO EXPRESÓW","NOE 101","Kuchnia, Mycie gruntowne, Powierzchnie zmywalne, Mycie gruntowne, Sanitariaty, Mycie gruntowne, Specjalistyczne, Usuwanie trudnych zabrudzeń","https://www.forlux.pl/sites/default/files/produkty/zdjecie0007.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_noe_01-10-2015_r.pdf","Odkamieniacz do ekspresów i czajników NOE 101
Zastosowanie
NOE 1 jest bardzo skutecznym koncentratem do odkamieniania ekspresów do kawy, czajników, grzałek elektrycznych, żelazek oraz innych urządzeń kuchennych niklowanych,
chromowanych, stalowych i miedzianych, które są wrażliwe na mocne środki kwaśne. Oprócz działania odkamieniającego, nabłyszcza myte powierzchnie nie powodując ich uszkodzenia.
Preparat zalecany jest również do stosowania w zmywarkach do mycia naczyń, jako zapobiegawczy środek przeciw osadzaniu się kamienia.
Sposób użycia
Odkamienianie ekspresu do kawy: stosować zgodnie z instrukcją producenta ekspresu
Odkamienianie, czajnika, żelazka: przygotować rozczyn roboczy, 200 ml koncentratu rozcieńczyć w 1 litrze wody, przygotowany rozczyn roboczy wlać do ekspresu, czajnika bądź żelazka,
pozostawić na czas od 15 minut do 30 minut (w zależności od siły zanieczyszczenia kamieniem). Zużyty rozczyn wylać a czyszczoną powierzchnię dokładnie spłukać bieżącą wodą.
Odkamienianie maszyny do mycia naczyń: 20-200 ml na cykl mycia.
 
OSTRZEŻENIA: Chronić przed dziećmi. W razie połknięcia nie wywoływać wymiotów; niezwłocznie zasięgnąć porady lekarza i pokazać opakowanie lub etykietę.
Pojemność
1 L / NOE 1 / 15 szt.
pH 1
 
"
"ODKAMIENIACZ DO PRALEK","OP","Czyszczenie tkanin, Kolorowe, Mieszane, Odplamiacz, Specjalistyczne, Pielęgnacja","https://www.forlux.pl/sites/default/files/produkty/dsc00028.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/op_odkamieniacz_do_pralek_katra_charakterystyki.pdf","Odkamieniacz do pralek OP
Zastosowanie.
Odkamieniacz Forlux OP zmniejsza koszty prania oraz wydłuża żywotność pralek. Zapobiega osadzaniu się kamienia na wszystkich wewnętrznych elementach zagrożonych odkładaniem się osadów kamiennych, w tym grzałek – dzięki czemu skraca czas potrzebny do ogrzania wody i w ten sposób skraca czas prania, a tym samym zmniejsza ilość pobieranego przez pralkę prądu. Ponadto preparat Forlux OP zdecydowanie poprawia efekt prania oraz zmniejsza wydatki na proszek, bowiem zmiękczając wodę zmniejsza nawet o 30% ilość koniecznego do użycia proszku do prania.

Sposób użycia.
Odkamieniacz Forlux OP należy używać razem z proszkiem do prania - na przykład Forlux UPP bądź Forlux UPK. Odkamieniacz warto stosować również do prania ręcznego celem poprawienia wydajności używanych proszków do prania. W celu osiągnięcia pełnej wydajności produktu Forlux OP jako odkamieniacza, jak również jako produktu wspomagającego efektywność prania, należy dozować go zgodnie z tabelą zamieszczoną poniżej, np. przy pomocy znajdującego się w opakowaniu dozownika.
Twardość wody
Stopień twardości wody (dh)
Dozowanie odkamieniacza na 20 litrów wody w temp. 30 °C
Dozowanie odkamieniacza na 20 litrów wody w temp. 40 °C
Dozowanie odkamieniacza na 20 litrów wody w temp. 60-90 °C

Miękka

0-10
20 ml
20 ml
30 ml

Średnia

10-20
30 ml
50 ml
70 ml

Twarda

20-30
50 ml
70 ml
140 ml
Skład.
Fosforany >30%, Edta "
"Odplamiacz do tkanin białych i kolorowych, bez chloru Forlux OT aktywny tlen","OT","Czyszczenie tkanin, Odplamiacz, Podłogi, Pranie wykładzin, Specjalistyczne, Usuwanie trudnych zabrudzeń","https://www.forlux.pl/sites/default/files/produkty/ot.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/ot_forlux_odplamiacz.pdf","Zastosowanie:
Skutecznie usuwa uporczywe plamy z wina, kawy, herbaty, trawy, coli, atramentu wodnego, farb do włosów. Nie zawiera chloru dzięki temu jest bezpieczny dla tkanin i kolorów. Może być stosowany do różnego rodzaju tkanin: ubrań, firanek, obrusów, dywanów, tapicerek, itp. Forma proszku pozwala na uzyskanie różnych postaci odplamiacza, roztworów wodnych i past.
Sposób użycia:
ODPLAMIANIE W PRALKACH – 2 łyżki (ok. 30g) do szufladki na pranie wstępne, dodaj proszek do prania, włącz pralkę. W wypadku trudnych plam dodaj 2,5 łyżki (ok. 37g).
ODPLAMIANIE POPRZEZ NAMACZANIE – rozpuścić 2 łyżki (ok. 30g) w 4 litrach ciepłej wody (max. 40° C). W przypadku trudnych plam użyć 4 łyżki (ok. 60g). Tkaniny kolorowe namaczać około 1 godziny, tkaniny białe do 6 godzin, po namaczaniu tkaninę wyprać.
ODPLAMIANIE PUNKTOWE – (szczególnie silnych plam) Miejsce zaplamienia nawilżyć ciepłą wodą, posypać jedną łyżeczką odplamiacza, zwilżyć proszek ciepłą wodą do utworzenia się pasty, pozostawić na 10-15 minut, następnie nie usuwając pasty, włożyć do pralki i prać razem z proszkiem.
Skład:
>30% związki wybielające na bazie tlenu, "
"ODŚWIEŻACZ POWIETRZA - NOWOŚĆ","OKC","Odświeżacze powietrza","https://www.forlux.pl/sites/default/files/produkty/p1150654.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/karta_charakterystyki_odswiezacze_powietrza_forlux_1.pdf","
ZAPACH KORZENNY CYNAMON
19 NUT ZAPACHOWYCH

Zastosowanie:
Odświeżacze powietrza Forlux są gotowymi do użycia preparatami posiadającymi przyjemny, świeży zapach i długotrwałe kilkunastogodzinne działanie. Specjalna formuła płynów neutralizuje nieprzyjemne zapachy, między innymi uciążliwy zapach dymu tytoniowego.
Występują w 19 różnych nutach zapachowych
Waniliowy (Forlux OLV),
Kwiatowy (Forlux OPF),
Zielona Herbata (Forlux OGT),
Biała Herbata (Forlux OWT),
Czarna Kawa (Forlux OBC),
Czarne Winogrono (Forlux OBG),
Czerwone Jabłko (Forlux OCJ)
Perfumowany (Forlux OEF)
Wonna Róża (Forlux OWR)
Wiosenny Bez (Forlux OWB)
Białe Kwiaty (Forlux OBK)
Świeża Cytryna (Forlux OSC)
Sosny Bór (Forlux OSB)
Pomarańcz z Cynamonem (Forlux OPC)
Słodki Melon (Forlux OSM)
Soczysty Granat (Forlux OSG)
Owocowa Guma do żucia (Forlux OGO)
Świeża Pościel (Forlux OSP)
Korzenny Cynamon (Forlux OKC)
Kilkakrotnie spryskać pomieszczenie. Możliwość uzyskania do 740 pryśnięć z opakowania 0,5L , czyli przy dwóch dozach na pomieszczenie wystarcza na przeszło 1 rok czasu.
Dostępne opakowania:
spryskiwacz 0,5L
5L - OGT5 i OBG5 (jedynie dla zapachu Zielonej Herbaty i Czarnego Winogrona)
 
"
"ODŚWIEŻACZ POWIETRZA NA BAZIE OLEJKÓW ETERYCZNYCH ","AFRICA","Akcesoria pomocnicze, Odświeżacze powietrza","https://www.forlux.pl/sites/default/files/produkty/img_20190605_115033.jpg","","ZASTOSOWANIE I SPOSÓB UŻYCIA
Forlux ARICA, jest gotowym do użycia odświeżaczem powietrza na bazie olejków eterycznych pozyskanych z drzewa sandałowego i cedru, 
o pięknym, egzotycznym aromacie i długotrwałym kilkunastogodzinnym działaniu. 
Specjalnie dobrane kompozycje aromatów patchuli i wanilii, tworzą niepowtarzalny piżmowo korzenny zapach.
Jedno opakowanie 200 ml, pozwala na uzyskanie do 296 doz, 2-3 dozy pozwalają odpowiednio nawonić pomieszczenie na kilka godzin.
Dostępne opakowanie:
AFRICA - 200 ml
"
"ODŚWIEŻACZ POWIETRZA NA BAZIE OLEJKÓW ETERYCZNYCH ","INDIA","Akcesoria pomocnicze, Odświeżacze powietrza","https://www.forlux.pl/sites/default/files/produkty/img_20190605_115024.jpg","","ZASTOSOWANIE I SPOSÓB UŻYCIA
Forlux INDIA, jest gotowym do użycia odświeżaczem powietrza na bazie olejków drzewnych i paczuli.
Specjalnie dobrane kompozycje zapachowe będące mieszanką bergamotki, nut ziołowych, i nut piżmowych,
tworzą niepowtarzalny zmysłowy zapach o długotrwałym kilkunastogodzinnym działaniu.
Jedno opakowanie 200 ml, pozwala na uzyskanie do 296 doz, 2-3 dozy pozwalają odpowiednio nawonić pomieszczenie na kilka godzin.
Dostępne opakowanie:
AFRICA - 200 ml
"
"ODŚWIEŻACZ POWIETRZA NA BAZIE OLEJKÓW ETERYCZNYCH ","EUROPE","Akcesoria pomocnicze, Odświeżacze powietrza","https://www.forlux.pl/sites/default/files/produkty/img_20190605_115017.jpg","","ZASTOSOWANIE I SPOSÓB UŻYCIA
Forlux EUROPE, jest gotowym do użycia odświeżaczem powietrza na bazie olejków eterycznego z werbeny egzotycznej,
o pięknym, świeżym aromacie i długotrwałym kilkunastogodzinnym działaniu.
Specjalnie dobrane kompozycje tworzą niepowtarzalny owocowo korzenny zapach wzbogacony o świeżość pomarańczy i grejpfruta.
Jedno opakowanie 200 ml, pozwala na uzyskanie do 296 doz, 2-3 dozy pozwalają odpowiednio nawonić pomieszczenie na kilka godzin.
Dostępne opakowanie:
AFRICA - 200 ml
"
"Odświeżacz powietrza o zapachu świeżej pościeli","OSP - NOWOŚĆ","Odświeżacze powietrza, Specjalistyczne","https://www.forlux.pl/sites/default/files/produkty/osp.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/karta_charakterystyki_odswiezacze_powietrza_forlux_0.pdf","Zastosowanie:
Odświeżacze powietrza Forlux są gotowymi do użycia preparatami posiadającymi przyjemny, świeży zapach i długotrwałe kilkunastogodzinne działanie. Specjalna formuła płynów neutralizuje nieprzyjemne zapachy, między innymi uciążliwy zapach dymu tytoniowego.
Występują w 17 różnych nutach zapachowych
Zapach świeżej pościeli (Forlux OSP) - NOWOŚĆ
Waniliowy (Forlux OLV),
Kwiatowy (Forlux OPF),
Zielona Herbata (Forlux OGT),
Biała Herbata (Forlux OWT),
Czarna Kawa (Forlux OBC),
Czarne Winogrono (Forlux OBG),
Czerwone Jabłko (Forlux OCJ)
Perfumowany (Forlux OEF)
Wonna Róża (Forlux OWR)
Wiosenny Bez (Forlux OWB)
Białe Kwiaty (Forlux OBK)
Świeża Cytryna (Forlux OSC)
Sosny Bór (Forlux OSB)
Pomarańcz z Cynamonem (Forlux OPC)
Słodki Melon (Forlux OSM)
Soczysty Granat (Forlux OSG)
Owocowa Guma do żucia (Forlux OGO)
Kilkakrotnie spryskać pomieszczenie. Możliwość uzyskania do 740 pryśnięć z opakowania 0,5L , czyli przy dwóch dozach na pomieszczenie wystarcza na przeszło 1 rok czasu.
Dostępne opakowania:
spryskiwacz 0,5L
5L 
"
"ODŚWIEŻACZE POWIETRZA FORLUX - 740 DOZ","18 NUT ZAPACHOWYCH","Odświeżacze powietrza","https://www.forlux.pl/sites/default/files/produkty/dsc00661.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/karta_charakterystyki_odswiezacze_powietrza_forlux.pdf","Zastosowanie:
Odświeżacze powietrza Forlux są gotowymi do użycia preparatami posiadającymi przyjemny, świeży zapach i długotrwałe kilkunastogodzinne działanie. Specjalna formuła płynów neutralizuje nieprzyjemne zapachy, między innymi uciążliwy zapach dymu tytoniowego.
Występują w 18 różnych nutach zapachowych
Waniliowy (Forlux OLV),
Kwiatowy (Forlux OPF),
Zielona Herbata (Forlux OGT),
Biała Herbata (Forlux OWT),
Czarna Kawa (Forlux OBC),
Czarne Winogrono (Forlux OBG),
Czerwone Jabłko (Forlux OCJ)
Perfumowany (Forlux OEF)
Wonna Róża (Forlux OWR)
Wiosenny Bez (Forlux OWB)
Białe Kwiaty (Forlux OBK)
Świeża Cytryna (Forlux OSC)
Sosny Bór (Forlux OSB)
Pomarańcz z Cynamonem (Forlux OPC)
Słodki Melon (Forlux OSM)
Soczysty Granat (Forlux OSG)
Owocowa Guma do żucia (Forlux OGO)
Świeża Pościel (Forlux OSP)
Kilkakrotnie spryskać pomieszczenie. Możliwość uzyskania do 740 pryśnięć z opakowania 0,5L , czyli przy dwóch dozach na pomieszczenie wystarcza na przeszło 1 rok czasu.
Dostępne opakowania:
spryskiwacz 0,5L
5L - OGT5 i OBG5 (jedynie dla zapachu Zielonej Herbaty i Czarnego Winogrona)
"
"Pad do uchwytu ręcznego typu packa oraz na kij ","ECPP","Akcesoria pomocnicze, Zestawy do szorowania","https://www.forlux.pl/sites/default/files/produkty/ecpp.jpg","","Właściwości:

		kolor czarny

		wymiary pada: szerokość 11,50 cm, długośc 25 cm
"
"PAKIET PREZENTACYJNY FORLUX DLA KUCHNI","PPK","Pakiety prezentacyjne dla Handlowców","https://www.forlux.pl/sites/default/files/produkty/p1090039.jpg","","PAKIET PREZENTACYJNY FORLUX DLA KUCHNI
PPK
W zestaw pakietu wchodzi

		NC108                     koncentrat do ręcznego mycia naczyń

		ZC 107                    koncentrat uniwersalny do mycia szyb, blatów, stolików itp.

		PG114                     koncentrat do gruntownego mycia podłóg

		NG 101                   koncentrat do odkamieniania maszyn myjących naczynia

		ZPS                          płyn do mycia i pielęgnacji urządzeń ze stali nierdzewnej

		UCC07                    roztwór roboczy do mycia blatów, stolików itp.

		KGC 14                   roztwór roboczy do mycia frontów szafek, okapów itp.

		NG 010                   mleczko czyszczące do kuchenek, zlewozmywaków itp.

		NG 014                   płyn do czyszczenia powierzchni przypalonych

		RB 006                   mydło bezwonne niwelujące przykre zapachy

		ECŚŻ                      ściereczka z mikrofibry w kolorze żółtym

		DOZ 25                   buteleczka z dozownikiem do precyzyjnego odmierzania koncentratów 

		SKRZYNECZKA    pojemnik na w/w preparaty

		PLAN HIGIENY      wizualizacja określająca obszary zastosowań dla w/w preparatów
"
"PAKIET PREZENTACYJNY FORLUX DLA OBIEKTU","PPO","Pakiety prezentacyjne dla Handlowców","https://www.forlux.pl/sites/default/files/produkty/p1090054.jpg","","PAKIET PREZENTACYJNY FORLUX DLA OBIEKTU
PPO
W zestaw pakietu wchodzi

		ZAP 10                    płyn do czyszczenia luster, szyb mebli ze szkła - z funkcją antypary 

		UTZ                         silny środek do usuwania zabrudzeń nierozpuszczalnych w wodzie 

		SG 001                   żel do sanitariatów - WC kaczka 

		PC 110                   koncentrat do mycia podłóg, lamperii, itp. - zapach lemona 

		ZC 107                    koncentrat uniwersalny do mycia szyb, blatów, stolików itp.

		PG 114                   koncentrat do gruntownego mycia podłóg

		SC 101                   koncentrat do usuwania kamienia i rdzy -sanitariaty

		PC 108                   koncentrat do mycia podłogi

		ECŚN                     ściereczka z mikrofibry w kolorze niebieskim

		ECŚR                     ściereczka z mikrofibry w kolorze różowym

		SKRZYNECZKA   pojemnik na w/w preparaty

		PLAN HIGIENY     wizualizacja określająca obszary zastosowań dla w/w preparatów
"
"Pakiet startowy Forlux dla Gastronomii","PSG","Pakiety startowe, Gastro","https://www.forlux.pl/sites/default/files/produkty/p1090058.jpg","","
		możliwość zdezynfekowania do 500 m2 powierzchni - (FORLUX PD 213)

		możliwość umycia gruntownego i odtłuszczenia do 20 m2  powierzchni (FORLUX KGC 014)

		możliwość usunięcia przypalenizny do 10 m2 powierzchni (FORLUX NG 014)

		możliwość nabłyszczenia i zabezpieczenia do 30 m2 powierzchni (FORLUX ZPS)

		możliwość odkamienienia około 5 krotnie zmywarki (FORLUX NG 101)

		możliwość umycia do 500 naczyń -mycie ręczne (FORLUX NC 108)

		możliwość umycia 50 cykli -mycie w zmywarce (FORLUX NT 110)

		możliwość zrobienia 133 butelek 0,5L płynu uniwersalnego do mycia szyb, blatów, stolików itp. (FORLUX ZC 207)
Zobacz fim prezentujący co wchodzi w skład pakietu Forlux Gastro PSG
 

"
"Pakiet startowy Forlux do Obiektów","PSO","Pakiety startowe, Obiekt","https://www.forlux.pl/sites/default/files/produkty/p1090056.jpg","","
		możliwość codziennego umycia do 4000 m2 podłóg - różne typu podłóg (FORLUX PC 210)

		możliwość gruntownego doczyszczenia (odtłuszczenia) do 2000 m2 podłóg i innych powierzchni (FORLUX PG 214)

		możliwość przygotowania do 133 butelek 0,5L płynu uniwersalnego do mycia szyb, blatów, stolików itp. (FORLUX ZC 207)

		możliwość przygotowania do 40 butelek 0,5L płynu do mycia toalet (FORLUX  SC 201)

		możliwość nawonienia pomieszczeń około 700 krotnym - odświeżaczem powietrza (FORLUX OGT)
pobierz plan higieny
Zobacz co wchodzi w skład Pakietu Forlux PSO do Obiektu, zobacz krótki film
 

"
"PAPIER TOALETOWY JUMBO CELULOZA","PJM 100","Artykuły higieniczne, Papiery toaletowe - Jumbo","https://www.forlux.pl/sites/default/files/produkty/photo_24.jpg","","PAPIER TOALETOWY JUMBO CELULOZA
Papier toaletowy Jumbo dwuwarstwowy celulozowy
 

		długość rolki 100 m

		szerokość 95mm

		średnica 190 mm
Pakowany po 12 rolek w zgrzewce
"
"Papier toaletowy Jumbo dwuwarstwowy 80% bieli","PJM 135","Artykuły higieniczne, Papiery toaletowe - Jumbo","https://www.forlux.pl/sites/default/files/produkty/pjm_135.jpg","","
		długość rolki 135 m

		szerokość 90mm

		średnica 180 m

		12 rolek w zgrzewce
"
"Papier toaletowy mała rolka dwuwarstwowy celulozowy","PTC 40","Artykuły higieniczne, Papiery toaletowe - małe rolki","https://www.forlux.pl/sites/default/files/produkty/ptc_40.jpg","","
		długość rolki 40 m

		szerokość 95mm

		średnica 110 mm

		8 rolek w zgrzewce x 8 zgrzewek w opakowaniu zbiorczym
"
"Pasta do mycia rąk ze środkiem ściernym ","RG 06","Ręce, Mycie gruntowne","https://www.forlux.pl/sites/default/files/produkty/p1090077.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/zgloszenie_pasty_do_mycia_rak_forlux_rg_06_do_krajowego_systemu_informowania_o_kosmetykach_wprowadzonych_do_obrotu_na_terenie_rp.pdf, https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_rg_006_21-11-16r.pdf","Zastosowanie:
Pasta Forlux RG 506 do gruntownego mycia rąk ze środkiem ściernym. Skutecznie usuwa nawet uporczywe zabrudzenia typu: olej, smar, tłuszcz, sadza, pozostałości z farb. Dzięki substancjom ścierającym oraz neutralnemu współczynnikowi pH nadaje się także do częstego mycia rąk. Zawarte w niej składniki natłuszczające chronią dłonie przed nadmiernym wysuszaniem skóry. Doskonale sprawdza się do mycia rak w warsztatach, zakładach przemysłowych oraz rolnictwie.
Sposób użycia:
Zabrudzone ręce zwilżyć ciepłą wodą, nanieść niewielką ilość pasty i dokładnie umyć. Spłukać obwicie wodą.
Skład:
Aqua, Cocamidopropyl Betaine, Silica, Poliurethane, Citrus Dulcis, Cocamide DEA, Glycerin, Laureth-7, Oleic Acid, Polyacrylate, Xanthan Gum, EDTA, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum.
pH 6
Dostępne opakowania:
0,5kg - RG 506
5kg - RG 506
5kg (wiaderko) - RG 506/W
Poniżej przedstawiamy instrukcję obsługi automatycznego dozownika ściennego do pasty Forlux RG
 
 
 


"
"Piana aktywna do mycia i pielęgnacji samochodów ","AP 05","Samochody, Mycie codzienne","https://www.forlux.pl/sites/default/files/produkty/p1080986.jpg","https://www.forlux.pl/sites/default/files/karta_charakterystki/forlux_ap_05_23-11-2016_r.pdf","Zastosowanie:
Preparat Forlux AP przeznaczony jest do mycia zewnętrznych części samochodów osobowych. Doskonale usuwa zabrudzenia pochodzenia organicznego i nieorganicznego, nie pozostawiając smug i zacieków. Zawiera formułę nabłyszczającą.
Sposób użycia:
Piana aktywna do czyszczenia karoserii:
Mycie samochodów osobowych (ciśnieniowe) - 40ml na 1 litr wody
Mycie samochodów osobowych (opryskiwacz) - 100ml na 1 litr wody
Mycie samochodów osobowych (ręczne) - 10ml na 1 litr wody
Mycie samochodów osobowych (lanca pianotwórcza) - 400-500ml na 1 litr wody
Koncentrat rozpuścić w wodzie, roztwór rozpylić przy pomocy urządzenia ciśnieniowego lub pianotwórczego od dolnych partii nadwozia do górnych, odczekać około jednej minuty, a następnie obwicie spłukać wodą. Nie dopuszczać do wyschnięcia preparatu na czyszczonej powierzchni. Ciepłe i matowe powierzchnie lekko zwilżyć wodą. Nie wystawiać pojazdu na prażące słońce.
Skład:
Wodorotlenek sodu – 2%. Anionowe i niejonowe środki powierzchniowo czynne – 25%
pH 5
Dostępne opakowania:
5l - AP 505
20l - AP 2005
"
